bedrooms,bathrooms,toilets,parking_space,house_type,town,state,price,latitude,total_rooms,longitude
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,55000000.0,6.4698419,13.0,3.5851718
4.0,6.0,6.0,4.0,Semi Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,16.0,3.5851718
6.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0,6.4698419,19.0,3.5851718
8.0,8.0,9.0,4.0,Detached Bungalow,Ibadan,Oyo,80000000.0,7.3775355,25.0,3.9470396
4.0,4.0,5.0,4.0,Detached Duplex,Apo,Abuja,140000000.0,8.9773902,13.0,7.4974852
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0,6.464587400000001,14.0,3.5725244
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,125000000.0,6.4698419,13.0,3.5851718
6.0,6.0,7.0,4.0,Detached Duplex,Lekki,Lagos,70000000.0,6.4698419,19.0,3.5851718
5.0,4.0,4.0,9.0,Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Ibeju Lekki,Lagos,130000000.0,6.4569054,16.0,3.8858955
4.0,4.0,4.0,5.0,Semi Detached Duplex,Lekki,Lagos,95000000.0,6.4698419,12.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,13.0,3.5851718
5.0,6.0,6.0,5.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,17.0,3.5851718
6.0,5.0,8.0,4.0,Detached Duplex,Isheri North,Lagos,134000000.0,6.6334151,19.0,3.41202
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,13.0,3.5851718
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,17.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,13.0,3.5725244
3.0,3.0,4.0,1.0,Detached Bungalow,Gwarinpa,Abuja,65000000.0,9.0673179,10.0,7.398260199999999
4.0,4.0,5.0,4.0,Terraced Duplexes,Guzape District,Abuja,50000000.0,9.0117252,13.0,7.5079538
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,160000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,55000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,1.0,Detached Duplex,Port Harcourt,Rivers,75000000.0,4.847222599999999,16.0,6.974603999999999
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,69000000.0,6.4698419,13.0,3.5851718
6.0,6.0,6.0,4.0,Detached Duplex,Isolo,Lagos,58000000.0,6.537182500000001,18.0,3.322734
4.0,5.0,5.0,4.0,Terraced Duplexes,Victoria Island (VI),Lagos,120000000.0,6.429098199999999,14.0,3.4238032
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,80000000.0,6.464587400000001,16.0,3.5725244
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
4.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,58000000.0,6.464587400000001,15.0,3.5725244
4.0,4.0,5.0,1.0,Detached Duplex,Guzape District,Abuja,85000000.0,9.0117252,13.0,7.5079538
3.0,3.0,4.0,4.0,Detached Duplex,Lekki,Lagos,55000000.0,6.4698419,10.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,78000000.0,6.4698419,13.0,3.5851718
5.0,6.0,6.0,2.0,Detached Duplex,Ibeju Lekki,Lagos,91000000.0,6.4569054,17.0,3.8858955
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
6.0,6.0,7.0,4.0,Detached Duplex,Ikeja,Lagos,150000000.0,6.601838,19.0,3.3514863
4.0,5.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,72000000.0,6.464587400000001,14.0,3.5725244
4.0,5.0,5.0,3.0,Terraced Duplexes,Victoria Island (VI),Lagos,115000000.0,6.429098199999999,14.0,3.4238032
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Port Harcourt,Rivers,60000000.0,4.847222599999999,16.0,6.974603999999999
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,158000000.0,6.601838,16.0,3.3514863
5.0,6.0,7.0,4.0,Detached Duplex,Ajah,Lagos,85000000.0,6.464587400000001,18.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,148000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,60000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,55000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,95000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,2.0,Semi Detached Duplex,Lekki,Lagos,52000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,8.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,160000000.0,6.4698419,15.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Victoria Island (VI),Lagos,175000000.0,6.429098199999999,13.0,3.4238032
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,61000000.0,6.4698419,13.0,3.5851718
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0,6.601838,12.0,3.3514863
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,15.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Ajah,Lagos,65000000.0,6.464587400000001,13.0,3.5725244
4.0,4.0,4.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0,6.464587400000001,12.0,3.5725244
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
5.0,5.0,5.0,3.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,15.0,3.5851718
4.0,5.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,6.0,Detached Duplex,Lekki,Lagos,95000000.0,6.4698419,13.0,3.5851718
6.0,6.0,7.0,4.0,Detached Duplex,Isheri North,Lagos,150000000.0,6.6334151,19.0,3.41202
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,125000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,13.0,3.5851718
5.0,6.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,17.0,3.5851718
4.0,4.0,5.0,4.0,Terraced Duplexes,Ajah,Lagos,50000000.0,6.464587400000001,13.0,3.5725244
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,70000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,165000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,65000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,85000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0,6.464587400000001,16.0,3.5725244
1.0,1.0,2.0,1.0,Block of Flats,Ajah,Lagos,120000000.0,6.464587400000001,4.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,68000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,60000000.0,6.464587400000001,13.0,3.5725244
2.0,2.0,3.0,1.0,Block of Flats,Ajah,Lagos,150000000.0,6.464587400000001,7.0,3.5725244
4.0,4.0,5.0,4.0,Detached Duplex,Magodo,Lagos,135000000.0,6.6178643,13.0,3.4000616
4.0,4.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,50000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0,6.4698419,17.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Terraced Duplexes,Victoria Island (VI),Lagos,140000000.0,6.429098199999999,14.0,3.4238032
5.0,5.0,6.0,2.0,Detached Duplex,Lekki,Lagos,102000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,53000000.0,6.464587400000001,13.0,3.5725244
5.0,5.0,5.0,4.0,Detached Duplex,Katampe,Abuja,150000000.0,9.1010936,15.0,7.446778
5.0,6.0,7.0,3.0,Detached Duplex,Ajah,Lagos,85000000.0,6.464587400000001,18.0,3.5725244
4.0,4.0,4.0,3.0,Detached Duplex,Ajah,Lagos,65000000.0,6.464587400000001,12.0,3.5725244
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Magodo,Lagos,65000000.0,6.6178643,13.0,3.4000616
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,16.0,3.5851718
4.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,16.0,3.5851718
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0,6.4698419,17.0,3.5851718
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0,6.4698419,15.0,3.5851718
5.0,6.0,6.0,4.0,Detached Duplex,Lekki,Lagos,160000000.0,6.4698419,17.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,50000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0,6.4698419,14.0,3.5851718
5.0,6.0,6.0,5.0,Detached Duplex,Magodo,Lagos,160000000.0,6.6178643,17.0,3.4000616
4.0,4.0,5.0,4.0,Terraced Duplexes,Jahi,Abuja,65000000.0,9.1068175,13.0,7.447600800000001
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,15.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,115000000.0,6.4698419,16.0,3.5851718
5.0,5.0,4.0,5.0,Detached Duplex,Lekki,Lagos,165000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,65000000.0,6.464587400000001,13.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,2.0,Detached Duplex,Port Harcourt,Rivers,120000000.0,4.847222599999999,16.0,6.974603999999999
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,8.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,13.0,3.5851718
6.0,5.0,5.0,4.0,Detached Duplex,Surulere,Lagos,180000000.0,6.4926317,16.0,3.3489671
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0,6.4698419,14.0,3.5851718
1.0,5.0,5.0,4.0,Block of Flats,Isolo,Lagos,150000000.0,6.537182500000001,11.0,3.322734
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,105000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,60000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,55000000.0,6.464587400000001,13.0,3.5725244
4.0,4.0,4.0,3.0,Detached Duplex,Ajah,Lagos,70000000.0,6.464587400000001,12.0,3.5725244
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,48000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,48000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,72000000.0,6.4698419,13.0,3.5851718
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,15.0,3.5851718
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,14.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,80000000.0,6.464587400000001,16.0,3.5725244
4.0,4.0,5.0,6.0,Semi Detached Duplex,Wuye,Abuja,67000000.0,9.0502115,13.0,7.4440401
4.0,5.0,5.0,5.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,85000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ikeja,Lagos,120000000.0,6.601838,13.0,3.3514863
5.0,6.0,6.0,4.0,Detached Duplex,Owerri Municipal,Imo,120000000.0,5.4682267,17.0,7.0175879
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,14.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,5.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,61000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,6.0,Detached Duplex,Lekki,Lagos,70000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,95000000.0,6.4698419,16.0,3.5851718
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,110000000.0,6.4698419,15.0,3.5851718
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Katampe,Abuja,90000000.0,9.1010936,16.0,7.446778
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0,6.4698419,13.0,3.5851718
5.0,6.0,6.0,8.0,Detached Duplex,Gwarinpa,Abuja,125000000.0,9.0673179,17.0,7.398260199999999
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,14.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,77000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,16.0,3.5851718
4.0,5.0,5.0,3.0,Detached Duplex,Lekki,Lagos,50000000.0,6.4698419,14.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,95000000.0,6.464587400000001,16.0,3.5725244
6.0,7.0,7.0,8.0,Detached Duplex,Port Harcourt,Rivers,130000000.0,4.847222599999999,20.0,6.974603999999999
5.0,5.0,5.0,6.0,Semi Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,15.0,3.5851718
4.0,6.0,7.0,4.0,Detached Duplex,Ajah,Lagos,55000000.0,6.464587400000001,17.0,3.5725244
3.0,3.0,3.0,8.0,Detached Bungalow,Life Camp,Abuja,65000000.0,9.0848611,9.0,7.3694922
4.0,4.0,5.0,2.0,Terraced Duplexes,Life Camp,Abuja,60000000.0,9.0848611,13.0,7.3694922
5.0,6.0,7.0,3.0,Detached Duplex,Lekki,Lagos,140000000.0,6.4698419,18.0,3.5851718
4.0,4.0,5.0,7.0,Detached Duplex,Ajah,Lagos,70000000.0,6.464587400000001,13.0,3.5725244
4.0,4.0,4.0,3.0,Terraced Duplexes,Ikeja,Lagos,180000000.0,6.601838,12.0,3.3514863
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0,6.4698419,15.0,3.5851718
4.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,15.0,3.5851718
4.0,4.0,5.0,4.0,Semi Detached Bungalow,Ibeju Lekki,Lagos,58000000.0,6.4569054,13.0,3.8858955
4.0,5.0,5.0,3.0,Detached Duplex,Lekki,Lagos,130000000.0,6.4698419,14.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,155000000.0,6.4698419,16.0,3.5851718
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,16.0,3.5851718
4.0,5.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,70000000.0,6.4698419,14.0,3.5851718
4.0,5.0,5.0,2.0,Terraced Duplexes,Jahi,Abuja,80000000.0,9.1068175,14.0,7.447600800000001
4.0,4.0,5.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,125000000.0,6.429098199999999,13.0,3.4238032
5.0,5.0,5.0,4.0,Detached Duplex,Ajah,Lagos,55000000.0,6.464587400000001,15.0,3.5725244
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0,6.4698419,16.0,3.5851718
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,13.0,3.5851718
4.0,5.0,5.0,2.0,Terraced Duplexes,Guzape District,Abuja,75000000.0,9.0117252,14.0,7.5079538
4.0,4.0,5.0,2.0,Detached Duplex,Lekki,Lagos,120000000.0,6.4698419,13.0,3.5851718
4.0,4.0,5.0,3.0,Semi Detached Duplex,Lekki,Lagos,78000000.0,6.4698419,13.0,3.5851718
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0,6.464587400000001,16.0,3.5725244
